m1,m2,n,obs,indep_sim,acc_min,same_provider
openai_gpt-3.5-turbo-0125,writer_palmyra-x-v3,665,0.6511278195488722,0.869172932330827,0.570938999314599,False
openai_gpt-4o-2024-08-06,openai_gpt-4o-mini-2024-07-18,424,0.6816037735849056,0.8820754716981132,0.6665524331734064,True
openai_gpt-4o-2024-08-06,qwen_qwen1.5-7b,386,0.49740932642487046,0.8290155440414507,0.5407813570939,False
openai_gpt-4o-2024-08-06,qwen_qwen2.5-72b-instruct-turbo,298,0.7013422818791947,0.889261744966443,0.8159698423577793,False
openai_gpt-4o-2024-08-06,writer_palmyra-x-v3,367,0.5640326975476839,0.9046321525885559,0.7093899931459904,False
openai_gpt-4o-mini-2024-07-18,qwen_qwen1.5-7b,788,0.6421319796954315,0.8477157360406091,0.5407813570939,False
openai_gpt-4o-mini-2024-07-18,qwen_qwen2.5-72b-instruct-turbo,366,0.639344262295082,0.9262295081967213,0.6665524331734064,False
openai_gpt-4o-mini-2024-07-18,writer_palmyra-x-v3,638,0.5987460815047022,0.9169278996865203,0.6665524331734064,False
qwen_qwen1.5-7b,qwen_qwen2.5-72b-instruct-turbo,365,0.5835616438356165,0.852054794520548,0.5407813570939,True
qwen_qwen1.5-7b,writer_palmyra-x-v3,661,0.546142208774584,0.8517397881996974,0.5407813570939,False
qwen_qwen2.5-72b-instruct-turbo,writer_palmyra-x-v3,329,0.6443768996960486,0.9513677811550152,0.7093899931459904,False
